text,care,fairness,non-moral,subversion,authority,loyalty,purity,betrayal,degradation,harm,cheating
"#AllLivesMatter #DemDebate 

#BlackLivesMatter is a fraud and a sham distorting a valid end (ending police brutality) with race nonsense",1,0,1,0,0,0,0,0,0,0,1
Prayers to our brave DPD  officers! We support you! #hatewillneverwin #AllLivesMatter  #LoveOneAnother https://t.co/Qbv6cBgjYw,1,0,0,0,1,1,1,0,0,0,0
"OPPRESSION IS oppression 
violence is VIOLENCE &amp; 
Most Importantly 
#ALLLIVESMATTER",0,1,0,0,0,0,0,0,0,1,1
#MuslimLivesMatter #AllLivesMatter #WakeUpAmerica Does Islam demand my allegiance or death? If yes a holy war in USA inevitable. Gods pawn.,0,0,0,0,0,1,0,1,0,1,1
#AllLivesMatter  https://t.co/hyXvAYIIT7,1,1,0,0,0,0,0,0,0,0,0
"Still praying for #Orlando , #terrorism and #racialInjustice #AllLivesMatter 

God bless law enforcement and the hearts government leaders.",1,0,0,0,1,0,1,0,0,1,1
@keck_mary All lives are important. But #AllLivesMatter is the most futile and ridiculous tag on twitter.,0,0,1,0,0,0,0,1,0,0,1
@Tmerlo19 Yes I have seen that  👮 My Son in Law matters and #BlackLivesMatter #AllLivesMatter Justice and Equality,1,1,0,0,0,1,0,0,0,0,0
#BlackLivesMatter racists silent about these crimes. #AllLivesMatter  https://t.co/FSj1efemFa,1,1,0,0,0,0,0,1,0,1,1
Love is LOVE! Embrace COMPASSION and EQUALITY! Reject RACISM and HOMOPHOBIA! #AllLivesMatter #Peace #LoveIsLove https://t.co/yfuUHxFLrM,1,1,0,0,0,1,1,0,0,1,1
"@denice_ruptly @OpFerguson No Peace W/out Justice for families of victims.
#AllLivesMatter #BeSafeStayFreeGetHome everyone",1,1,0,0,0,0,0,0,0,0,0
Justice not vengeance. #FreddieGray @CNN #alllivesmatter,1,1,0,0,0,0,1,0,0,0,0
@PchSm truth shall set our souls free #palestine #Alllivesmatter unity🔊,1,1,1,0,0,0,1,0,0,0,0
#Nashville in solidarity w/ #Ferguson! We love you! #BlackLivesMatter #AllLivesMatter #FightBack http://t.co/krRTRU0rWo,1,1,0,0,0,1,0,0,0,0,0
#Nashville in solidarity w/ #Ferguson! We love you! #BlackLivesMatter #AllLivesMatter #FightBack http://t.co/krRTRU0rWo,0,0,1,0,0,1,0,0,0,0,0
#Nashville in solidarity w/ #Ferguson! We love you! #BlackLivesMatter #AllLivesMatter #FightBack http://t.co/krRTRU0rWo,1,1,0,0,0,1,0,0,0,0,0
#Nashville in solidarity w/ #Ferguson! We love you! #BlackLivesMatter #AllLivesMatter #FightBack http://t.co/krRTRU0rWo,0,0,1,0,0,1,0,0,0,0,0
@MMFlint Liberal jerks like you with no regard for the sanctity of life encourage these murders by your actions. #prolife #AllLivesMatter,1,0,0,0,0,0,1,0,1,1,0
#AllLivesMatter #BlueLivesMatter #RNCinCLE God bless our honorable men in Uniform,1,0,0,0,1,1,0,0,0,0,0
"Don't want a baby, be a lady! #DefundPP #AllLivesMatter @tedcruz",0,1,1,0,0,0,1,0,0,0,0
All the hatred and racism in the world breaks my heart. Compassion is everything! #LoveIsLove #AllLivesMatter https://t.co/La32PgAkQF,1,0,0,0,0,0,1,0,0,1,1
"Do you have answers? respect /Show compassion for Asians, Blacks Browns, Whites... Love is love #LoveHasNoLabels #LoveIsLove #AllLivesMatter",1,1,0,0,0,1,1,0,0,0,0
@TheRoot stop being the slave to democrats! Such hatred and racism in BLM that it's shameful for anybody to praise them! #AllLivesMatter,0,0,0,1,0,0,0,1,0,1,1
@AlysiaStern @ThePatriot143 truth is #AllLivesMatter but without #police many would suffer and die order must be maintained,1,1,0,0,1,1,1,0,0,1,0
seeing pink at the NFL game tonight. still waiting for the #AllLivesMatter people to come out and declare all cancers deserve a color,1,0,1,0,0,0,0,1,0,0,1
"Dear Humans: All life is sacred! We should never be selective in our compassion and mourning. 
#AllLivesMatter #unity",1,1,0,0,0,1,1,0,0,0,0
#compassion #AllLivesMatter #pray4theworld  https://t.co/8CpoesCk3d,1,0,0,0,0,0,0,0,0,1,0
It's sad that people had to result to violence hurting more innocent people in our nation. #Pray4Baltimore #AllLivesMatter,1,0,0,0,0,0,0,0,0,1,0
Sandra Bland...may your soul rest in everlasting peace 💓 #BlackLivesMatter #AllLivesMatter #uspolicemurders,1,0,0,0,0,0,1,0,0,1,0
#blacklivesmatter is for unity equality respect between races. #alllivesmatter ignores the truth of injustice to claim reverse racism,1,1,0,0,1,1,0,0,0,1,1
Unity and love please.  #AllLivesMatter #PrayForJapan #paris #StoptheKilling #LoveNoWar,1,1,0,0,0,1,1,0,0,0,0
"Just obey the rules and authorities. If he would've complied with ""get on the ground"". At worst, he's in jail. Bottom line. #alllivesmatter",0,1,0,0,1,1,0,0,0,0,0
"When do we rally to support not breaking the law, respecting authority &amp; for the lives of every officer ever killed on duty? #AllLivesMatter",0,0,0,0,1,1,0,1,0,1,1
@nohiddenmagenta @KirstenPowers Don't understand why people seek gov't permission to violate ten commandments.#AllLivesMatter,0,0,1,0,1,0,0,1,0,1,0
"It would appear that supporters of #AllLivesMatter also believe that #SomeLivesMatterLess 
https://t.co/NuJNX0cYsv",0,0,0,0,0,0,0,1,0,1,1
"""Change"" religious beliefs?! #WhyI'mNotVotingFirHillary  #AllLivesMatter #Prolife #Millenials  #Catholic #Christian http://t.co/VQ26Ip506k",0,0,1,0,0,0,1,0,0,0,0
@Parallel318 TY. #fb #NYPDLivesMatter #AllLivesMatter #Justice4All #OneFamily Live&amp;Let Live- Kindness w/o judging binds our humanity,1,0,0,0,0,1,1,0,0,0,0
"#Blacklivesmatter #Alllivesmatter   
Bishop D. Strong of SCCC and myself and LWIC worshiping together on Black Solidarity Sunday",1,0,1,0,0,1,0,0,0,0,0
#ALLLIVESMATTER lets kill hatred and bring unity # at a time,1,1,0,0,0,1,0,0,0,0,0
---&gt;&gt; Hillary is a force for racial justice http://t.co/DxVTguq4CR &lt;--- #blacklivesmatter #alllivesmatter,1,1,0,0,0,0,0,0,0,0,0
@WayneDupreeShow @S00NERBRED  BLM Is A Divivsive Racist Group Inspired By A Divisive Racist Potus Obama!#AllLivesMatter Even Theirs!,1,1,0,1,0,0,0,0,0,1,1
"Harm none, do what ye will. #meatismurder #vegan #veganpride #hippie #pagan #alllivesmatter… https://t.co/Fb4ZHJ8FWL",1,0,0,0,0,0,0,0,0,0,0
"We must condemn all barbaric acts driven by hate, political &amp; religious extremism, insanity, racism &amp; bigotry #ParisAttacks #AllLivesMatter",1,1,0,0,0,1,0,0,0,0,0
"@DanScavino @Denise7Berry @realDonaldTrump Respect and Appreciation are character traits of DT. #AllLivesMatter
     #MakeAmericaGreatAgain",1,1,1,0,1,0,0,0,0,0,0
Is the $$$ really worth your willful ignorance &amp; evil ways @PPact? Shame on your deception &amp; outright evil intentions... #AllLivesMatter,0,0,0,0,0,0,0,1,1,1,1
I am so sorry to any one who has suffered a loss do to any kind of hate crime...#BlackLivesMatter #AllLivesMatter  #ICantBreathe,1,0,0,0,0,1,1,0,0,0,0
@YouGiveMeFever7 #DonaldTrump is the arrogance of ignorance soaked in #WhitePrivilege #AllLivesMatter #racism #BlackLivesMatter #Latino,1,0,0,0,0,0,0,0,1,1,1
"Respect human rights. #AllLivesMatter 

http://t.co/rpXgFPwBN8",1,1,0,0,1,0,1,0,0,0,0
Stand for justice not division. #BlackLivesMatter #Justice #AllLivesMatter,1,1,0,0,0,0,1,0,0,0,0
"Selective Compassion on The ""V"" Word https://t.co/l8PYy3GK1G #vegan #ahimsa #compassion #alllivesmatter",1,1,1,0,0,0,0,0,0,0,1
Stand in solidarity #BlackLifeMatters #AllLivesMatter #HandsUpDontShoot #iCantBreathe http://t.co/JsdN7fGzQS,1,1,0,0,0,1,0,0,0,0,0
#Dallas #BatonRouge ##BlueLivesMatter #AllLivesMatter God Bless those families that sacrificed so much https://t.co/UhFqjlBOqk,1,0,0,0,0,0,1,0,0,0,0
In solidarity w/ all those demanding to be listened to and asking for justice in Missouri #FergusonOctober #BlackLivesMatter #AllLivesMatter,1,1,0,0,0,1,0,0,0,0,0
"One nation, indivisible with liberty and justice for all 🇺🇸 🙏🏻

#BlueLivesMatter #AllLivesMatter #BlackLivesMatter https://t.co/zkdrCQnphf",1,1,0,0,1,1,0,0,0,0,0
Trust #God's unfailing #love. #AllLivesMatter #TeamGOD #TaniaSpeaks #wisdom. https://t.co/LVqgEIVfTO,1,0,0,0,1,1,1,0,0,0,0
"Love and Compassion are necessities, not luxuries... #BlackLivesMatter #NYPDLivesMatter #AllLivesMatter http://t.co/q26Od0IfpS",1,1,0,0,0,0,0,0,0,0,0
"Love and Compassion are necessities, not luxuries... #BlackLivesMatter #NYPDLivesMatter #AllLivesMatter http://t.co/q26Od0IfpS",1,1,0,0,0,0,0,0,0,0,0
"Love and Compassion are necessities, not luxuries... #BlackLivesMatter #NYPDLivesMatter #AllLivesMatter http://t.co/q26Od0IfpS",1,1,0,0,0,0,0,0,0,0,0
"Love and Compassion are necessities, not luxuries... #BlackLivesMatter #NYPDLivesMatter #AllLivesMatter http://t.co/q26Od0IfpS",1,1,0,0,0,0,0,0,0,0,0
Be a beacon of light in dark times #blacklivesmatter #nypdlivesmatter #alllivesmatter #stolenlives http://t.co/P44bYJtiVJ,1,0,1,0,0,0,0,0,0,0,0
Wouldn't it be more productive to promote and work to agree #AllLivesMatter,1,1,1,0,1,1,0,0,0,0,0
"#AllLivesMatter is pap. #BlackLivesMatter is fighting back against racist systems, racist events, racist acts, racist folk who say otherwise",1,1,0,0,0,1,0,0,0,0,0
"Genuine reparations by the oppressor, and true forgiveness by the oppressed https://t.co/hkltbiwiLu #AllLivesMatter http://t.co/2l8KKGbcx2",1,1,0,0,0,0,0,0,0,0,1
Respect #AndrewHawkins #Browns #BlackLivesMatter #AllLivesMatter #tamirrice #johncrawford http://t.co/mzded5jLg8,1,0,0,0,1,1,1,0,0,0,0
Respect #AndrewHawkins #Browns #BlackLivesMatter #AllLivesMatter #tamirrice #johncrawford http://t.co/mzded5jLg8,0,0,1,0,1,1,0,0,0,0,0
Respect #AndrewHawkins #Browns #BlackLivesMatter #AllLivesMatter #tamirrice #johncrawford http://t.co/mzded5jLg8,1,0,0,0,1,1,1,0,0,0,0
Respect #AndrewHawkins #Browns #BlackLivesMatter #AllLivesMatter #tamirrice #johncrawford http://t.co/mzded5jLg8,0,0,1,0,1,1,0,0,0,0,0
"@annafbeswick indeed, no animal should suffer the torture that labs create #sentient beings #AllLivesMatter @DrHadwenTrust  🐶 🐱 🐹 🐰 🐭",1,1,0,0,0,0,1,0,0,0,1
This is what #Race looks like to white and black children #Cleveland #AllLivesMatter #America #PoliceBrutality http://t.co/PEG8rqhHo9,0,0,1,0,0,1,0,0,0,0,0
"#AllLivesMatter abused children, trans women of all colors, gay/straight/happily random, lost women, broken men, the lonely and the hurting",1,1,0,0,0,1,0,0,0,1,0
Racism and discrimination is a timeless worldwide issue. Recognize it. Change it. #AllLivesMatter  https://t.co/9m8G6uAWEa,0,0,0,0,0,1,0,1,0,1,1
"We have to do better as a race, the HUMAN race #ALLLIVESMATTER #BlackLivesMatter",1,0,1,0,0,1,0,0,0,0,0
Patriot Strength Club tonight 5:30pm Mapleton #Utah #Strongman #Stronger #SuperHuman #AllLivesMatter #BadAsses http://t.co/4zZsrYZwee,0,0,1,0,0,1,0,0,0,0,0
"Here’s why saying ""#AllLivesMatter"" hurts https://t.co/ZGNMa57YLm https://t.co/angRzIw9g4",0,0,1,0,0,0,0,0,0,1,0
"@sassy_gramma ok.., how do I say this? OBEY THE LAW - regardless of color!!!! #Ferguson #AllLivesMatter #BlueLivesMatter #RIP",1,1,0,1,1,0,1,0,0,0,0
Evil demons. Your fur is 'harvest' by ripping innocent beings apart! I hope you suffer a faith worse! #AllLivesMatter http://t.co/4hirh9CdtE,0,0,0,0,0,0,0,0,1,1,1
Love and peace is the answer. Unity and law and order is the answer. #BlackLivesMatter  #alllivesmatter #whitelivesmatter #Trump,1,0,0,0,1,1,0,0,0,0,0
“@ZacEfron: I'm rooting for equality #iamAME #BlackLivesMatter #AllLivesMatter”.....anyways,1,1,1,0,0,1,1,0,0,0,0
"Police are supposed to uphold the law, not brutalize innocent people. This cop missed that memo. http://t.co/Mvn0YnaihP #AllLivesMatter",1,1,0,1,1,0,0,1,0,1,1
Justice for  #AltonSterling #BlackLivesMatter #AllLivesMatter,1,1,0,0,0,1,1,0,0,0,0
crazy 2 me tht ppl can be so selfish N harm others but lash out in anger N resentment towards others tht harm their own.  #AllLivesMatter,0,0,0,0,0,0,0,1,0,1,1
I'd hate to defend #AllLivesMatter,0,0,1,0,0,0,0,1,0,0,1
Justice or ELSE! .... #AllLivesMatter http://t.co/i4cVO8qAbw,1,1,0,0,0,0,0,0,0,0,0
Racism prejudice hate are taught so teach with passion not anger. #AllLivesMatter #nofreedomuntilwereallequal,0,0,0,0,0,1,0,1,0,1,1
#StayWoke because #blacklivesmatter and understand that #alllivesmatter is the epitome of oppression and racism https://t.co/korQExQPSA,0,1,0,0,0,0,0,1,0,1,1
We stand for human dignity &amp; equality #AllLivesMatter #handsupforjustice #BlackLivesMatter http://t.co/Nu815Oms1F,1,1,0,0,0,0,0,0,0,0,0
We stand for human dignity &amp; equality #AllLivesMatter #handsupforjustice #BlackLivesMatter http://t.co/Nu815Oms1F,1,1,0,0,0,1,1,0,0,0,0
We stand for human dignity &amp; equality #AllLivesMatter #handsupforjustice #BlackLivesMatter http://t.co/Nu815Oms1F,1,1,0,0,0,0,0,0,0,0,0
We stand for human dignity &amp; equality #AllLivesMatter #handsupforjustice #BlackLivesMatter http://t.co/Nu815Oms1F,1,1,0,0,0,1,1,0,0,0,0
"YES, #AllLivesMatter #BlueLivesMatter 

#BlackLivesMatter is a TERRORIST and HATE GROUP! https://t.co/v3vWQsIAFl",0,0,0,0,0,0,0,1,1,1,0
“@ZacEfron: I'm rooting for equality #iamAME #BlackLivesMatter #AllLivesMatter”😙,1,1,0,0,0,0,0,0,0,0,0
Compassion should extend to ALL species; all species feel+deserve 2 live. Stop the violence #govegan #AllLivesMatter http://t.co/tfZitxBTjD,1,1,0,0,0,1,1,0,0,0,0
"We love the first of this story ""All Human Beings"" #Alllivesmatter https://t.co/Mbd28C9oU4",0,1,0,0,0,0,0,1,0,1,1
#DarrenGoforth  murdered for wearing the uniform of his job  Sick of #BlackLivesMatter  crap. Guess what cowards #AllLivesMatter,0,0,0,1,1,0,0,1,0,1,1
As a white boy saying #AllLivesMatter is a massive disrespect to #BlackLivesMatter,0,0,1,1,0,0,0,1,0,1,1
"@dabmasterbrad #OaklandCA in Solidarity with #Ferguson - #NoIndictment Day2
#AllLivesMatter #BlackLivesMatter #BrownLivesMatter",1,0,0,0,0,1,1,0,0,0,0
.@dhwrtr on #Ferguson and justice http://t.co/gwIn57PpBU #BlackLivesMatter #AllLivesMatter,0,1,1,0,0,0,0,0,0,0,0
"Folks, we're in the 21st Century, we neither have the time nor the luxury to go backwards. #wakeupamerica #AllLivesMatter #BlackLivesMatter",0,0,1,0,0,0,1,0,0,0,0
Abortion on demand and doctor-aided death have contributed to a culture that devalues human life. http://t.co/noxgdaNA4p #AllLivesMatter,1,0,0,0,0,0,0,0,1,1,0
@thehill @HillaryClinton #ALLLIVESMATTER #Hillary2016 LIAR DECEPTIVE AND MURDER HILLARY @POTUS http://t.co/YxKOPbGc9s,1,0,0,1,0,0,0,0,1,1,1
#Sunday #Alllivesmatter #Prolife Today is the 42nd annual Sanctity of Human Life Sunday. A day created after the... http://t.co/RQOn2mnkO5,0,0,1,0,0,0,1,0,0,0,0
@JebBush Good manners &amp; compassion always work. #ItMattersToMe #AllLivesMatter 🇨🇱🇺🇸,1,0,1,0,0,0,1,0,0,0,0
"Sadness and tragedy. When compassion and outrage is equally felt for both innocent groups, then we know #BlackLivesMatter &amp; #AllLivesMatter",1,1,0,0,0,0,0,0,0,1,1
"Sadness and tragedy. When compassion and outrage is equally felt for both innocent groups, then we know #BlackLivesMatter &amp; #AllLivesMatter",1,1,0,0,0,1,0,0,0,0,0
"Sadness and tragedy. When compassion and outrage is equally felt for both innocent groups, then we know #BlackLivesMatter &amp; #AllLivesMatter",1,1,0,0,0,0,0,0,0,1,1
"Sadness and tragedy. When compassion and outrage is equally felt for both innocent groups, then we know #BlackLivesMatter &amp; #AllLivesMatter",1,1,0,0,0,1,0,0,0,0,0
@jonashughes4 we would protest #whitelivesmatter! Racism is racism. We can't be hypocrites | racial rhetoric is traitorous #alllivesmatter,0,1,0,0,0,0,0,0,0,1,1
"#WeCantBreathe bc the injustice is unbearable, the ignorance unbelievable.  #BlackLivesMatter #AllLivesMatter",0,1,0,0,0,0,0,1,0,1,1
Really #NationalLawEnforcementAppreciationDay what is nxt #NationalSlaveMasterApprectionDay or #NattionalKKKAppreciationDay?#AllLivesMatter,1,0,1,1,1,0,0,1,0,1,1
#WBDJ Racist shooter made endless false charges of racism going back 15 years. #AllLivesMatter #BlackLivesMatter #BlackLies,0,0,0,0,0,0,0,0,0,1,1
#ALLLIVESMATTER EQUALITY is INCLUSIVE not EXCLUSIVE!!! http://t.co/gxM4sAB02D,1,1,0,0,0,1,0,0,0,0,0
In Solidarity - In Solidarity #AllLivesMatter #MikeBrown #Ferguson #MydayinLA Friends and family of Eduardo... http://t.co/53UtxkjF07,0,0,0,0,0,1,0,0,0,0,0
All that matters is kindness #AllLivesMatter https://t.co/Etn0RI2fK3,1,0,0,0,0,1,1,0,0,0,0
Celebrating sanctity of life day....even unborn ones  #AllLivesMatter,1,1,0,0,0,1,1,0,0,0,0
"""Millions March in solidarity anti-police brutality movements across the US http://t.co/jIbLGkn20J"" 

Shit is real son #AllLivesMatter",1,0,1,0,0,1,0,0,0,0,0
"#AllLivesMatter but how does blocking traffic, causing damage and ruining the holidays honor and make #BlackLivesMatter ?",0,0,1,1,0,0,0,0,0,1,0
Man @matisyahu had it right. One day can be now #alllivesmatter #allbloodisred #weneedeachother https://t.co/EcJQGXSNGC,0,1,1,0,0,0,0,0,0,0,0
The Inhumanity of the Death Penalty http://t.co/lv3PtQtAlG #BlackLivesMatte #AllLivesMatter #DeathPenalty #NewJimCrow,0,0,1,0,0,0,0,0,0,1,1
Protestors continue to show solidarity in reminding the world that #AllLivesMatter http://t.co/hDOk0vbrk4,0,0,0,1,0,1,0,0,0,0,0
Much respect troubleman31 🙏🏾✊🏾 #blacklivesmatter #hunt #worldwide #alllivesmatter https://t.co/Ow80a9DIIr,0,0,1,0,1,0,0,0,0,0,0
#Ferguson #MikeBrown #AllLivesMatter Black Lives Matter bully @HillaryClinton  Criminal Justice  http://t.co/zk9dYFGCyo … #terrorists,0,0,1,0,0,0,0,0,0,0,0
DOJ could sue #Ferguson for racial discrimination http://t.co/A2Wd9nsgTP #MikeBrown #EricGarner #AllLivesMatter #BlackLivesMatter,0,1,0,0,0,0,0,0,0,1,1
#AllLivesMatter https://t.co/uCBLEcDwbw,1,1,0,0,0,0,0,0,0,0,0
@peaceday @4BLISSmusic @Music4PeaceSD  Respect your unwavering fight for #HumanRightsDay &amp; believing #AllLivesMatter https://t.co/CZBZMUI1Y9,1,1,0,0,1,0,1,0,0,0,0
"Kyra, you are hurting your cause with foolish comments like that! Graduate and get a job.  #AllLivesMatter",0,0,1,0,0,0,0,0,1,0,0
"Disg- Racism and Discrimination In America 
#blacklivesmatter #alllivesmatter #stopbullying
http://t.co/naHVrluGPs",0,0,0,0,0,0,0,0,0,1,1
Justice For #WalterScott #TrayvonMartin #MikeBrown #AllLivesMatter #BlackLivesMatter #stoppolicebrutality #Retweet http://t.co/1jfvLrTlrT,1,1,0,0,0,1,1,0,0,0,0
Stupid #Hannity supports the criminal sniper/#ChrisKyle who murdered 260 Iraqis for fun; #AllLivesMatter #ICantBreathe #Scandal #ISIS #saudi,0,0,0,0,0,0,0,0,1,1,1
"No just-ice, no tip. @PeaceHouseUS takes on weak garb #alllivesmatter rebuttal. 👏 https://t.co/bPaYDzEdlM",0,1,1,0,0,0,0,0,0,1,0
"The only morally acceptable, sane worldview is the one that protects all preborn #humanlife from harm and death.&gt;BEF #alllivesmatter",1,1,0,0,0,0,1,0,0,0,0
Some are assholes and some are doing their job. #ALLlivesmatter,0,1,1,1,1,0,0,0,1,0,0
#RestoreTheVRA #congress #HBCU #vote #DEM #GOP #BlackLivesMatter #alllivesmatter @POTUS @WhiteHouse #2016 #Alabama  https://t.co/uAsBwpwoIE,0,0,1,0,0,0,0,1,0,1,1
#NYPDLivesMatter #AllLivesMatter equitable justice is the only way to ensure security #nojusticenopeace,0,1,0,0,0,0,0,1,0,1,1
"#AllLivesMatter …Justice, peace, equality #Nesara Now!",1,1,0,0,0,1,1,0,0,0,0
Let's hope for Peace for all 2016 the Year Compassion Wins #AllLivesMatter https://t.co/TL4EKEDVeq,1,0,0,0,0,0,1,0,0,0,0
"I respect the people who enforce the law, but also believe the enforcers need limits. #AllLivesMatter http://t.co/Gp80PiyjeU",0,0,0,1,1,0,0,0,0,0,0
"But u, Lord, r a compassionate &amp; gracious God, slow to anger &amp; abounding in love &amp; faithfulness (Psalm 86:15) #Godlovesall #alllivesmatter",1,1,0,0,0,0,0,0,0,0,0
All human life is precious #instanbul #Turkey #PrayforTurkey #AllLivesMatter,1,1,0,0,0,1,1,0,0,0,0
Living Without Honor AND Dignity Is Suicidal! Claim Or Reclaim Your Dignity And Honor Will Follow! #BlackLivesMatter #AllLivesMatter #Global,0,0,1,0,0,0,1,0,0,1,1
"#BLM Thugs Make SICK Move In Major City After Dallas Cops Murdered... [VIDEO]
#BlueLivesMatter #PrayForDPD #Dallas https://t.co/o2Emhf5dF7",0,0,1,1,0,0,0,0,0,1,0
Justice..  We want equal rights and justice. #justice #equalrights #blm #alllivesmatter. https://t.co/sIi550YvPr,1,1,0,0,0,0,0,0,0,0,0
"#BlackLivesMatter #ALLlivesmatter A signal of dire distress in instances of extreme danger to life or property."" http://t.co/YRpySzPWH9",0,0,1,1,0,0,0,0,0,1,0
"I keep saying a revolution is coming. Too many blacks, women, poor hurt by systemic injustice #EricGarner #BlackLivesMatter #AllLivesMatter",0,1,0,1,0,0,0,0,0,1,1
"#AltonSterling &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; The racist, fearful, insensitivity of #AllLivesMatter",0,0,0,0,0,0,0,0,0,1,1
"#Columbus #Ohio stands in solidarity with #Ferguson 
#ripmikebrown
#fergusonoctober
#freepalestine
#alllivesmatter http://t.co/eTsrgfVeum",0,0,0,0,0,1,0,0,0,0,0
Equality means equality for all!  #DoTheRightThing #JUSTBECOOL #LoveWins #AllLivesMatter https://t.co/qj9Z4RHq92,1,1,0,0,0,0,1,0,0,0,0
"#HeterosexualPrideDay, when straights stand up to oppression. Like #AllLivesMatter, it's important to disguise discrimination with hypocrisy",0,1,0,0,0,0,0,0,0,0,1
#PressPlay: Justice for #FreddieGray ! #BlackLivesMatter #AllLivesMatter #PrayForPeace #KeepIt99… https://t.co/upyoEwdwWS,1,1,0,0,0,0,0,0,0,0,0
#PressPlay: Justice for #FreddieGray ! #BlackLivesMatter #AllLivesMatter #PrayForPeace #KeepIt99… https://t.co/upyoEwdwWS,0,1,1,0,0,0,0,0,0,0,0
#PressPlay: Justice for #FreddieGray ! #BlackLivesMatter #AllLivesMatter #PrayForPeace #KeepIt99… https://t.co/upyoEwdwWS,1,1,0,0,0,0,0,0,0,0,0
#PressPlay: Justice for #FreddieGray ! #BlackLivesMatter #AllLivesMatter #PrayForPeace #KeepIt99… https://t.co/upyoEwdwWS,0,1,1,0,0,0,0,0,0,0,0
"No comfort can replace the grieve of paris lives lost,Pray for hearts to heal &amp; unite humanity for lasting peace. #AllLivesMatter",1,0,0,0,0,1,1,0,0,0,0
"@IAmPrevail NYPD Union is inciting hate, violence via race bating, over the actions of a mentally ill, suicidal,wife killer. #AllLivesMatter",0,0,0,1,1,0,0,0,0,1,0
Freedom is like a Religion To Us.... #Truth #YouDontUnderstand #AllLivesMatter #DrKing #DreamLivesOn,1,1,0,0,0,0,0,0,0,0,0
face conflict with compassion not contempt nor confinement #alllivesmatter,1,0,0,0,0,1,1,0,0,0,0
"What a terrible mistake made, sad for all those innocents died but we need to keep fighting ISIS #prayforsyria #alllivesmatter",1,0,0,0,0,0,0,1,0,1,1
@ERYCACANE Just like you saw the 2 cops?? #AllLivesMatter OBEY the law! Done!,0,0,1,0,1,0,0,0,0,0,0
@DallasPD  Being alive is a blessing . What happen to love thy neighbor. Killing will always destory Treat all with respect #AllLivesMatter,1,0,0,0,1,1,1,1,0,0,0
